timestamps,nose x,nose y,left eye x,left eye y,right eye x,right eye y,left ear x,left ear y,rigth ear x,right ear y
1601904781.3638377,359.0,204.0,372.0,193.0,342.0,195.0,391.0,213.0,320.0,223.0
1601904781.7541463,366.0,205.0,377.0,194.0,346.0,194.0,391.0,213.0,321.0,223.0
1601904781.9392462,370.0,206.0,380.0,195.0,350.0,194.0,-1.0,-1.0,321.0,225.0
1601904782.1308582,373.0,205.0,382.0,194.0,353.0,194.0,-1.0,-1.0,322.0,225.0
1601904782.3237877,375.0,206.0,385.0,194.0,354.0,194.0,-1.0,-1.0,322.0,225.0
1601904782.5134146,376.0,205.0,385.0,194.0,355.0,194.0,-1.0,-1.0,323.0,226.0
1601904782.7003992,378.0,206.0,387.0,194.0,357.0,195.0,-1.0,-1.0,325.0,225.0
1601904782.8872118,379.0,206.0,389.0,194.0,358.0,194.0,-1.0,-1.0,325.0,222.0
1601904783.0725074,381.0,204.0,389.0,193.0,360.0,193.0,-1.0,-1.0,325.0,222.0
1601904783.254128,380.0,205.0,388.0,193.0,359.0,193.0,-1.0,-1.0,325.0,222.0
1601904783.43682,380.0,205.0,388.0,193.0,358.0,194.0,-1.0,-1.0,324.0,223.0
1601904783.6237786,378.0,206.0,386.0,193.0,357.0,194.0,-1.0,-1.0,322.0,224.0
1601904783.807596,376.0,206.0,385.0,192.0,355.0,193.0,-1.0,-1.0,321.0,223.0
1601904784.0049856,369.0,205.0,379.0,193.0,350.0,192.0,-1.0,-1.0,317.0,220.0
1601904784.1963727,340.0,206.0,353.0,193.0,322.0,194.0,372.0,215.0,297.0,216.0
1601904784.383793,306.0,206.0,320.0,192.0,289.0,195.0,341.0,212.0,270.0,215.0
1601904784.564827,282.0,199.0,295.0,186.0,263.0,188.0,311.0,208.0,239.0,209.0
1601904784.7465837,271.0,193.0,281.0,180.0,250.0,178.0,-1.0,-1.0,215.0,201.0
1601904784.931722,267.0,182.0,275.0,169.0,245.0,167.0,-1.0,-1.0,203.0,191.0
1601904785.1207798,274.0,173.0,283.0,161.0,251.0,155.0,-1.0,-1.0,204.0,183.0
1601904785.3185604,287.0,161.0,295.0,149.0,265.0,143.0,-1.0,-1.0,218.0,168.0
1601904785.5056653,294.0,155.0,302.0,144.0,273.0,138.0,-1.0,-1.0,225.0,160.0
1601904785.692972,289.0,160.0,304.0,140.0,275.0,134.0,-1.0,-1.0,224.0,153.0
1601904785.8737776,291.0,149.0,298.0,137.0,269.0,130.0,-1.0,-1.0,217.0,149.0
1601904786.0551612,277.0,147.0,286.0,135.0,257.0,128.0,-1.0,-1.0,204.0,146.0
1601904786.2380242,271.0,143.0,278.0,131.0,249.0,124.0,-1.0,-1.0,199.0,147.0
1601904786.425337,273.0,138.0,280.0,126.0,249.0,122.0,-1.0,-1.0,202.0,147.0
1601904786.6080809,298.0,143.0,305.0,130.0,276.0,125.0,-1.0,-1.0,231.0,152.0
1601904786.789361,351.0,144.0,356.0,130.0,326.0,128.0,-1.0,-1.0,279.0,155.0
1601904786.9812305,393.0,152.0,398.0,137.0,367.0,135.0,-1.0,-1.0,317.0,166.0
1601904787.178524,414.0,152.0,422.0,137.0,389.0,136.0,-1.0,-1.0,343.0,165.0
1601904787.3771868,422.0,140.0,434.0,124.0,398.0,122.0,-1.0,-1.0,355.0,153.0
1601904787.5659761,423.0,132.0,437.0,117.0,397.0,115.0,455.0,140.0,360.0,149.0
1601904787.763206,421.0,134.0,435.0,117.0,394.0,118.0,459.0,144.0,362.0,150.0
1601904787.9531605,414.0,145.0,429.0,125.0,387.0,130.0,456.0,148.0,361.0,159.0
1601904788.1441057,414.0,160.0,428.0,141.0,388.0,144.0,454.0,163.0,363.0,170.0
1601904788.334618,423.0,173.0,437.0,157.0,397.0,159.0,456.0,179.0,369.0,184.0
1601904788.5212939,421.0,181.0,438.0,164.0,399.0,167.0,464.0,189.0,374.0,187.0
1601904788.7215323,420.0,182.0,437.0,166.0,399.0,168.0,463.0,192.0,374.0,189.0
1601904788.9056208,411.0,182.0,429.0,165.0,392.0,168.0,458.0,192.0,370.0,194.0
1601904789.0885797,376.0,186.0,399.0,167.0,367.0,172.0,447.0,191.0,-1.0,-1.0
1601904789.271959,347.0,194.0,372.0,177.0,348.0,173.0,426.0,192.0,-1.0,-1.0
1601904789.4670916,340.0,186.0,364.0,169.0,342.0,167.0,416.0,192.0,-1.0,-1.0
1601904789.660721,324.0,178.0,349.0,165.0,-1.0,-1.0,400.0,188.0,-1.0,-1.0
1601904789.8524444,312.0,168.0,337.0,157.0,-1.0,-1.0,379.0,186.0,-1.0,-1.0
1601904790.0447736,322.0,179.0,345.0,166.0,311.0,166.0,374.0,198.0,-1.0,-1.0
1601904790.2354736,329.0,186.0,337.0,176.0,309.0,174.0,-1.0,-1.0,276.0,203.0
1601904790.4287853,328.0,189.0,329.0,178.0,305.0,181.0,-1.0,-1.0,270.0,212.0
1601904790.614052,326.0,188.0,327.0,179.0,303.0,179.0,-1.0,-1.0,268.0,209.0
1601904790.7968361,328.0,184.0,326.0,176.0,306.0,177.0,-1.0,-1.0,268.0,209.0
1601904790.9849715,326.0,183.0,324.0,174.0,305.0,176.0,-1.0,-1.0,268.0,208.0
1601904791.1747677,319.0,173.0,319.0,168.0,299.0,167.0,-1.0,-1.0,267.0,210.0
1601904791.3680112,318.0,175.0,321.0,173.0,296.0,168.0,-1.0,-1.0,268.0,213.0
1601904791.5489686,321.0,180.0,324.0,178.0,300.0,172.0,-1.0,-1.0,270.0,217.0
1601904791.7310653,323.0,174.0,324.0,174.0,302.0,170.0,-1.0,-1.0,272.0,218.0
1601904791.9127119,325.0,179.0,326.0,176.0,305.0,174.0,-1.0,-1.0,277.0,217.0
1601904792.095273,326.0,180.0,-1.0,-1.0,308.0,175.0,-1.0,-1.0,279.0,218.0
1601904792.27479,323.0,180.0,-1.0,-1.0,305.0,173.0,-1.0,-1.0,279.0,217.0
1601904792.4568024,322.0,181.0,-1.0,-1.0,305.0,174.0,-1.0,-1.0,280.0,218.0
1601904792.6386924,324.0,179.0,-1.0,-1.0,306.0,175.0,-1.0,-1.0,279.0,217.0
1601904792.8186662,324.0,179.0,-1.0,-1.0,306.0,177.0,-1.0,-1.0,280.0,217.0
1601904792.997936,321.0,176.0,-1.0,-1.0,304.0,176.0,-1.0,-1.0,279.0,218.0
1601904793.1795678,316.0,176.0,-1.0,-1.0,302.0,174.0,-1.0,-1.0,279.0,218.0
1601904793.3640804,314.0,176.0,-1.0,-1.0,299.0,173.0,-1.0,-1.0,276.0,218.0
1601904793.5524995,314.0,175.0,-1.0,-1.0,298.0,172.0,-1.0,-1.0,276.0,218.0
1601904793.7430644,322.0,180.0,-1.0,-1.0,304.0,177.0,-1.0,-1.0,273.0,217.0
1601904793.9416962,327.0,183.0,326.0,176.0,308.0,177.0,-1.0,-1.0,271.0,211.0
1601904794.130226,333.0,179.0,332.0,170.0,311.0,170.0,-1.0,-1.0,270.0,199.0
1601904794.3279693,345.0,175.0,345.0,161.0,318.0,161.0,-1.0,-1.0,272.0,189.0
1601904794.514282,358.0,162.0,358.0,146.0,331.0,146.0,-1.0,-1.0,280.0,176.0
1601904794.7012846,376.0,164.0,374.0,143.0,346.0,144.0,-1.0,-1.0,289.0,168.0
1601904794.8959565,398.0,171.0,395.0,146.0,369.0,148.0,-1.0,-1.0,313.0,169.0
1601904795.1015878,414.0,179.0,412.0,155.0,389.0,157.0,-1.0,-1.0,330.0,175.0
1601904795.3059,415.0,191.0,412.0,164.0,388.0,166.0,-1.0,-1.0,332.0,187.0
1601904795.5125892,396.0,198.0,394.0,176.0,371.0,177.0,-1.0,-1.0,315.0,196.0
1601904795.7151868,375.0,208.0,374.0,185.0,351.0,185.0,-1.0,-1.0,297.0,202.0
1601904795.9150486,342.0,209.0,341.0,188.0,317.0,187.0,-1.0,-1.0,264.0,204.0
1601904796.1091647,309.0,206.0,308.0,187.0,284.0,186.0,-1.0,-1.0,231.0,202.0
1601904796.303675,278.0,203.0,279.0,185.0,254.0,183.0,-1.0,-1.0,202.0,197.0
1601904796.4976394,262.0,206.0,261.0,187.0,242.0,185.0,-1.0,-1.0,189.0,192.0
1601904796.686906,255.0,206.0,-1.0,-1.0,235.0,186.0,-1.0,-1.0,183.0,189.0
1601904796.88962,254.0,198.0,252.0,181.0,234.0,177.0,-1.0,-1.0,179.0,188.0
1601904797.0859256,262.0,188.0,262.0,171.0,238.0,167.0,-1.0,-1.0,183.0,185.0
1601904797.2838972,285.0,180.0,285.0,164.0,258.0,162.0,-1.0,-1.0,204.0,185.0
1601904797.4813573,303.0,177.0,302.0,160.0,275.0,158.0,-1.0,-1.0,220.0,182.0
1601904797.6785781,313.0,167.0,315.0,152.0,286.0,149.0,-1.0,-1.0,233.0,176.0
1601904797.874804,324.0,159.0,327.0,145.0,297.0,143.0,-1.0,-1.0,248.0,173.0
1601904798.070796,289.0,159.0,309.0,141.0,270.0,146.0,345.0,170.0,255.0,165.0
1601904798.2668953,275.0,159.0,299.0,141.0,266.0,145.0,348.0,169.0,-1.0,-1.0
1601904798.4623327,258.0,154.0,284.0,136.0,259.0,136.0,339.0,161.0,-1.0,-1.0
1601904798.6580572,242.0,164.0,262.0,146.0,-1.0,-1.0,314.0,157.0,-1.0,-1.0
1601904798.854565,252.0,165.0,275.0,147.0,-1.0,-1.0,328.0,160.0,-1.0,-1.0
1601904799.0474222,335.0,152.0,350.0,141.0,315.0,139.0,368.0,170.0,286.0,169.0
1601904799.2375228,369.0,151.0,374.0,138.0,345.0,138.0,-1.0,-1.0,299.0,167.0
1601904799.4273803,381.0,141.0,388.0,129.0,358.0,126.0,-1.0,-1.0,314.0,158.0
1601904799.615622,390.0,133.0,398.0,121.0,365.0,115.0,-1.0,-1.0,318.0,151.0
